vender,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Canon_Aquilion_One_Vision,Small_rep2,Low Density,19.6,20.152659245829593,4.2,3.6141218384487184,0.2,0.3022004610997092
Canon_Aquilion_One_Vision,Small_rep2,Medium Density,39.3,39.96377122146071,8.5,7.714131817674326,0.3,0.8797984819834586
Canon_Aquilion_One_Vision,Small_rep2,High Density,78.5,79.95921488242318,17.0,16.269805117698905,0.6,0.6629661834009921
Canon_Aquilion_One_Vision,Small_rep3,Low Density,19.6,20.953968559690384,4.2,6.2560920658119175,0.2,0.18011194311423884
Canon_Aquilion_One_Vision,Small_rep3,Medium Density,39.3,38.98503655512507,8.5,5.992133993716254,0.3,0.03521230953844475
Canon_Aquilion_One_Vision,Small_rep3,High Density,78.5,82.02477547760031,17.0,12.733261659559382,0.6,0.6399838611076901
Canon_Aquilion_One_Vision,Small_rep4,Low Density,19.6,21.5299150582231,4.2,5.30953912255182,0.2,0.6936097568971362
Canon_Aquilion_One_Vision,Small_rep4,Medium Density,39.3,37.69289520003027,8.5,7.79656047846056,0.3,-0.15804265203113502
Canon_Aquilion_One_Vision,Small_rep4,High Density,78.5,80.52246573055083,17.0,16.823375130135368,0.6,1.6534223514538562
Canon_Aquilion_One_Vision,Small_rep5,Low Density,19.6,20.242038633398085,4.2,5.254723088418452,0.2,0.5906874277691763
Canon_Aquilion_One_Vision,Small_rep5,Medium Density,39.3,37.138988137359235,8.5,10.280483352760914,0.3,-0.16992510756874155
Canon_Aquilion_One_Vision,Small_rep5,High Density,78.5,80.83051228458967,17.0,13.07381144868078,0.6,-0.07346892522050512
GE_Revolution,GE_CCI_large_1,Low Density,19.6,18.44558670804537,4.2,4.302209525394559,0.2,0.019882882390511752
GE_Revolution,GE_CCI_large_1,Medium Density,39.3,33.258567103511886,8.5,7.111605160383601,0.3,0.33295877270262375
GE_Revolution,GE_CCI_large_1,High Density,78.5,65.11783055990874,17.0,13.391883235209892,0.6,0.11423339481161668
GE_Revolution,GE_CCI_large_2,Low Density,19.6,15.548681887508799,4.2,3.582460052045275,0.2,-0.06145399026249976
GE_Revolution,GE_CCI_large_2,Medium Density,39.3,30.712812509763893,8.5,6.494339210058019,0.3,0.9361961436650426
GE_Revolution,GE_CCI_large_2,High Density,78.5,65.74650518490506,17.0,14.140226837078453,0.6,0.539563892096216
GE_Revolution,GE_CCI_large_3,Low Density,19.6,14.777534762055708,4.2,3.967144976823191,0.2,0.536793884171301
GE_Revolution,GE_CCI_large_3,Medium Density,39.3,31.058820812447124,8.5,6.625689095443088,0.3,0.876959625655325
GE_Revolution,GE_CCI_large_3,High Density,78.5,66.52394630923239,17.0,11.028002075304444,0.6,0.297453823899662
GE_Revolution,GE_CCI_large_4,Low Density,19.6,14.505224172063393,4.2,3.1934768168090475,0.2,0.1911843385323586
GE_Revolution,GE_CCI_large_4,Medium Density,39.3,34.3148212650244,8.5,6.5266964207007865,0.3,0.341182304070042
GE_Revolution,GE_CCI_large_4,High Density,78.5,65.52561113654582,17.0,11.60673776722738,0.6,0.9977609113061633
GE_Revolution,GE_CCI_large_5,Low Density,19.6,18.8073456554863,4.2,5.058086173826824,0.2,0.5094820521179498
GE_Revolution,GE_CCI_large_5,Medium Density,39.3,30.496205172936715,8.5,5.214005945706159,0.3,0.5527298039753207
GE_Revolution,GE_CCI_large_5,High Density,78.5,67.06606896654863,17.0,13.405673154865106,0.6,-0.05959589705914158
GE_Revolution,GE_CCI_small_1,Low Density,19.6,16.955778134425106,4.2,5.5973713830602705,0.2,-0.08259574293255662
GE_Revolution,GE_CCI_small_1,Medium Density,39.3,34.36442211644311,8.5,6.889828289290924,0.3,0.6293435387308239
GE_Revolution,GE_CCI_small_1,High Density,78.5,69.65700714279588,17.0,14.745894620806503,0.6,0.8957224151152801
GE_Revolution,GE_CCI_small_2,Low Density,19.6,16.28922560927299,4.2,1.826202782186442,0.2,0.3135711178955516
GE_Revolution,GE_CCI_small_2,Medium Density,39.3,31.47371513472449,8.5,6.38496329900064,0.3,0.27518995763799864
GE_Revolution,GE_CCI_small_2,High Density,78.5,70.07320197354719,17.0,12.884420644824264,0.6,0.18231506466275277
