vender,scan,inserts,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_cal_factor
Canon_Aquilion_One_Vision,Large_rep4,High Density,343.403648,143.838976,2.38144,78.5,98.89730505990656,17.0,23.892997086746355,0.6,0.8200502957557821,0.0007292010274957114
Canon_Aquilion_One_Vision,Large_rep5,Low Density,164.795648,36.197888,2.38144,19.6,27.35534756265359,4.2,6.653380070513979,0.2,0.8378965474006521,0.0007226216721221612
Canon_Aquilion_One_Vision,Large_rep5,Medium Density,263.625408,66.44217599999999,1.905152,39.3,49.76527275827841,8.5,11.698469540722122,0.3,0.7945303674982155,0.0007226216721221612
Canon_Aquilion_One_Vision,Large_rep5,High Density,394.366464,105.021504,4.286592,78.5,94.67817974390204,17.0,23.905245286385718,0.6,1.7148685468509601,0.0007226216721221612
Canon_Aquilion_One_Vision,Small_rep1,Low Density,107.879232,15.241215999999998,0.0,19.6,20.69069716164873,4.2,2.9628462998762424,0.2,0.0,0.0007177458439735389
Canon_Aquilion_One_Vision,Small_rep1,Medium Density,196.4688,51.439104,0.0,39.3,40.51120564713097,8.5,8.579844979150101,0.3,0.0,0.0007177458439735389
Canon_Aquilion_One_Vision,Small_rep1,High Density,298.632576,66.68032,1.667008,78.5,87.47472956898378,17.0,17.55401823877871,0.6,0.5476496795202193,0.0007177458439735389
Canon_Aquilion_One_Vision,Small_rep2,Low Density,113.59468799999999,14.764928,0.0,19.6,20.889680496209497,4.2,2.9139507502210167,0.2,0.0,0.0007129340558334588
Canon_Aquilion_One_Vision,Small_rep2,Medium Density,190.753344,49.533952,0.0,39.3,38.55267369952438,8.5,8.069010275301755,0.3,0.0,0.0007129340558334588
Canon_Aquilion_One_Vision,Small_rep2,High Density,279.581056,65.251456,1.19072,78.5,86.31732314952896,17.0,17.656371745570972,0.6,0.3942314072139603,0.0007129340558334588
Canon_Aquilion_One_Vision,Small_rep3,Low Density,109.069952,16.67008,0.0,19.6,20.512908392467722,4.2,3.832777033235935,0.2,0.0,0.0007141625582687574
Canon_Aquilion_One_Vision,Small_rep3,Medium Density,193.13478399999997,46.676224,0.0,39.3,40.492636273789074,8.5,7.546672670206698,0.3,0.0,0.0007141625582687574
Canon_Aquilion_One_Vision,Small_rep3,High Density,278.152192,92.399872,0.952576,78.5,90.77793623220239,17.0,19.083270313776683,0.6,0.3030710273884645,0.0007141625582687574
Canon_Aquilion_One_Vision,Small_rep4,Low Density,111.451392,14.764928,0.0,19.6,21.556835578722932,4.2,2.6979903511244547,0.2,0.0,0.0007153652362521325
Canon_Aquilion_One_Vision,Small_rep4,Medium Density,200.517248,52.39168,0.0,39.3,40.76219292188543,8.5,8.545765611129381,0.3,0.0,0.0007153652362521325
Canon_Aquilion_One_Vision,Small_rep4,High Density,277.199616,81.921536,1.19072,78.5,91.19810460984087,17.0,19.080142788128295,0.6,0.4185743696857224,0.0007153652362521325
Canon_Aquilion_One_Vision,Small_rep5,Low Density,114.070976,15.717504,0.0,19.6,21.570121115063955,4.2,3.2360009249352664,0.2,0.0,0.0007112866926356895
Canon_Aquilion_One_Vision,Small_rep5,Medium Density,196.230656,51.439104,0.0,39.3,39.23244588704495,8.5,8.472651291056172,0.3,0.0,0.0007112866926356895
Canon_Aquilion_One_Vision,Small_rep5,High Density,267.673856,105.735936,1.19072,78.5,88.43307552778498,17.0,19.25898226352413,0.6,0.43143291225974273,0.0007112866926356895
GE_Revolution,GE_CCI_large_1,Low Density,75.101775512715,15.735610107426,0.0,19.6,16.567616899731295,4.2,3.232256421553829,0.2,0.0,0.0008830535691512911
GE_Revolution,GE_CCI_large_1,Medium Density,205.75502307134303,41.007953613292,0.0,39.3,42.3093470428567,8.5,6.637678836055257,0.3,0.0,0.0008830535691512911
GE_Revolution,GE_CCI_large_1,High Density,270.843228515696,87.737947265648,0.0,78.5,85.90770173534463,17.0,18.067160711000938,0.6,0.0,0.0008830535691512911
GE_Revolution,GE_CCI_large_2,Low Density,82.492743896506,6.914131713869001,0.0,19.6,17.986682215109706,4.2,2.2043820803534007,0.2,0.0,0.0008675447379695803
GE_Revolution,GE_CCI_large_2,Medium Density,199.31772802739602,43.153718627941004,0.0,39.3,36.798650332223644,8.5,8.138580709050474,0.3,0.0,0.0008675447379695803
GE_Revolution,GE_CCI_large_2,High Density,252.96185339362103,92.50631396486801,0.0,78.5,83.56019757792815,17.0,18.51463766996329,0.6,0.0,0.0008675447379695803
GE_Revolution,GE_CCI_large_3,Low Density,65.08820544435301,15.735610107426,0.0,19.6,17.02920558746634,4.2,3.3162774207290524,0.2,0.0,0.0008828619418716314
GE_Revolution,GE_CCI_large_3,Medium Density,199.317728027396,40.53111694337,0.0,39.3,38.877350020775495,8.5,8.236492254720904,0.3,0.0,0.0008828619418716314
GE_Revolution,GE_CCI_large_3,High Density,274.89634021003303,72.95601049806601,0.0,78.5,88.0755291117523,17.0,17.248115680615065,0.6,0.0,0.0008828619418716314
GE_Revolution,GE_CCI_large_4,Low Density,58.889328735367,15.020355102543002,0.0,19.6,15.673473777167995,4.2,3.0593962742271805,0.2,0.0,0.0008846639896996343
GE_Revolution,GE_CCI_large_4,Medium Density,201.940329711967,43.153718627941004,0.0,39.3,38.02610965230471,8.5,8.413603404269027,0.3,0.0,0.0008846639896996343
GE_Revolution,GE_CCI_large_4,High Density,261.783331787178,72.717592163105,1.1920916748050001,78.5,85.0719920548849,17.0,17.14938728484843,0.6,0.409712324211396,0.0008846639896996343
